ID,Name,Is_Closed,Review_Count,Rating,Price,Zip_Code
astpI6075yghzNk2XFiybA,Rollin Cycles Bicycle Shop,False,103,3.5,$$,20005
Dn04j5YabUDWS7nUbpfZGg,The Daily Rider,False,85,4.5,$$,20002
F0fMNrrBU3OKMdwfCL5mRA,Upshift Workshop,False,6,5.0,NaN,20001
YvDCWE1O_Q6JLMiKHb4tGQ,City Bikes - Adams Morgan,False,257,3.0,$$$,20009
ATpgglOwwQUno5QhAEXc2g,Bicycle Space,False,54,4.0,$$$,20002
OxnwyBMJN43a_5UHL3UHWQ,velofix,False,39,5.0,NaN,20001
3tbIAR6xTrgSRO3m2da0Vg,Conte's Bike Shop,False,48,4.0,$$,20003
2q9eO68Q-PDAUUfdx-zvqw,The Bike House,False,7,5.0,$,20542
gmXiBdjkKVTGM-4mU8Sepw,Conte's Bike Shop,False,7,3.5,NaN,20009
yGJ5jSQPSqp8i5rojSJnHQ,Gearin' Up Bicycles,False,24,4.5,$,20002
NBsk50CXW85OFAkxnOao8Q,District Cycle Works,False,12,4.5,NaN,20007
obfGllLjyMkQ1iA_HtT1bQ,Eric's Mobile Workshop,False,6,5.0,NaN,20002
8eVGxeIopFn5hUX_YVkbGQ,Nomad Bicycleworks,False,21,5.0,NaN,20017
R2HBjZ0HYWIRquHMVBNA_w,Trek Bicycle Washington D.C. Georgetown,False,116,4.0,$$$,20007
8mwlRyZ6FH2VW10tlHE2Qg,Bicycle Pro Shop,False,96,3.5,$$,20007
2NvqroYky8n4wO6agru4Kw,Bikes & Skates,False,38,4.0,$$,20743
Wqmx9LXrKzAUGeTZRV3XZg,City Bikes Tenleytown,False,44,3.0,$$,20016
Nnfhnuqv2WTeHRs_mDFPRA,Big Wheel Bikes,False,165,4.5,$$,22314
jQoYuCkGdeGNRfif4JlYDw,The Old Bike Shop,False,87,4.5,$$,22201
dEUQ7Of8leYhaRF12qTswQ,Takoma Bicycle,False,63,4.5,$$,20912
MnV2zaZSXToe-vpkTccZ4Q,Bike And Roll DC,False,328,4.5,NaN,20024
-zIt1sAhZpndaiWjMFVGcA,Griffin Cycle,False,107,4.5,$$,20814
uq9j3G6MJtd_Mv5rfF5oRQ,Pedego Electric Bikes Alexandria,False,37,5.0,$$,22314
Sb_3F7bcGYLGjUssQfiP6w,Riide,False,5,3.0,NaN,20001
CZSLn0w5xUESdprbfINn8w,Proteus Bicycles,False,86,4.5,$$,20740
p9U34BqsfvgY2zKTW6fFkg,ElectriCityBikes,False,20,3.5,NaN,20016
iILgX1Q8tc29Onj8OgdKOA,Bike Doctor of Waldorf,False,59,4.5,$$,20601
cU4Dg9ltf53aFoLBh8Ndkw,Silver Cycles,False,89,4.0,$$,20910
SVk-4xwL9tA9TSB0ZnWFBA,Big Wheel Bikes,False,62,3.5,$$,20007
RfsW8djTUV8TfDHy9TxfUw,REI,False,119,3.0,$$$,20002
AjIOtN_0SlyY2dgVuBbwhg,Jafe Cycling,False,5,5.0,NaN,20743
DPUPnCnPwCdcFl6U7nBNsw,Conte's Bike Shop,False,67,4.5,$$,22201
4wh6LsjL0Cki3IfJbSSzrA,BicycleSPACE - Washington,False,19,3.0,$$,20002
ky_3ss5asDpYqb8L1x3P-Q,Spokes Etc. Bicycles,False,136,4.5,$$,22302
WXuilvVlx0MzBqX1e6GO6A,Rapha DC,False,7,4.5,NaN,20007
xSzKaAq6vgZZDn3S5-V9Hw,Arrow Bicycle,False,32,4.5,$$,20781
q-pvnWBgielD--bA81hLFQ,District Cycles,False,6,4.0,NaN,20008
wdQepvuFBpPKJ1R6titiNA,Papillon Cycles,False,93,4.5,$$,22204
NM9NmHZ_KbNsmrfrP3Whvg,Trek Bicycle Rockville,False,42,3.5,$$,20852
1q-0mrzsr1EIF5U0aTPFXQ,ProBike FC,False,25,5.0,NaN,22046
Z97inykgHENrsBTg1S__wA,Conte's Bike Shop,False,17,3.0,NaN,20016
YvguUf5tL6HDElwIAhjZ4Q,Wheel Nuts Bike Shop,False,135,5.0,$$,22314
CmJmSF3Cw0lxuxwusJV8_Q,Trek Bicycle Arlington Clarendon,False,171,3.5,$$$,22201
xTrJ9Q5tNAAkj5p9Du7yRw,V̩loCity Bicycle Cooperative,False,65,4.0,$,22301
AsOcjvsQQfADGDft5LmzpQ,Fleet Feet,False,150,4.5,$$,20009
3mFZjswCTJ2X4MRBNRdSjA,The Bicycle Place,False,43,4.0,$$,20910
htdy8C1Rdz9baITZemFqgg,Evo Cycle Works,False,35,4.5,NaN,20850
wuFuQt1lI0kvy8ZaCie8WQ,Phoenix Bikes,False,28,4.5,$,22204
0KQG1qvOX8w7lPWa61w8OQ,Big Wheel Bikes,False,94,3.0,$$,22201
d50OtT7Y4N5l3OeBtRwIdA,Big Wheel Bikes,False,50,3.5,$$,20814
